'+++++++++++++++++++++
Race
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Race"
Track:, "rt_daytona, sportscar"
Winner, "Nicolas"
Led most laps, "Nicolas"
Best lap, "Nacionalss (01:33.4070)"
Lasted laps, "92"
Host, "Unknown"


Race result
'======================
Pos,    Class, Team, Vehicle, Driver, Laps, Time/Retired, Best lap, Consistency, Led, Pits,
"1",  "", "VSE", "urd_loire07_21", "Nicolas", "92", "    02:33:09.5070", "01:33.6850", "98.60%", "87", "0", 
"2",  "", "VSE", "urd_loire07_21", "Sweetzy.", "92", "  '+00:00:05.2870", "01:34.1820", "98.63%", "5", "0", 
"3",  "", "NHMR AUTOSPORT", "urd_loire07_21", "Nacionalss", "89", "  '+00:04:53.9170", "01:33.4070", "96.25%", "0", "0", 
"4",  "", "NHMR AUTOSPORT", "urd_loire07_21", "Hadi_Lea", "84", "  '+00:12:45.6070", "01:34.7850", "95.43%", "0", "0", 
"5",  "", "VSE", "rss_gtm_mercer_v8", "Lucasgaly24", "83", "  '+00:14:22.0080", "01:43.5990", "98.00%", "0", "0", 
"6",  "", "BRT", "urd_michigan_gtd", "Thomas", "83", "  '+00:15:25.0990", "01:44.4640", "98.31%", "0", "0", 
"7",  "", "", "urd_michigan_gtd", "mox25's;aidanhergt", "82", "  '+-01:03:05.8960", "01:45.3310", "98.79%", "0", "0", 
"8",  "", "Saucisse-Squad", "rss_gtm_protech_p92_f6", "Saucissoux", "81", "  '+00:16:34.0660", "01:45.3260", "97.83%", "0", "0", 
"9",  "", "VSE", "rss_gtm_mercer_v8", "Lcrf.baptiste", "81", "  '+00:17:40.0380", "01:45.5160", "97.37%", "0", "0", 
"10",  "", "Saucisse-Squad", "rss_gtm_protech_p92_f6", "Terenciox", "81", "  '+00:17:45.1340", "01:45.9760", "97.74%", "0", "0", 
"11",  "", "TNOR", "rss_gtm_lanzo_v10_evo2", "AxyBling", "81", "  '+00:18:20.4030", "01:46.5510", "97.87%", "0", "0", 
"12",  "", "Do Brasil Racing", "rss_gtm_protech_p92_f6", "Cbkmarcus", "8", " ", "01:47.2810", "98.11%", "0", "0", 
"13",  "", "SAFETY CAR ", "aston_vantage2018", "SAFETY CAR", "2", " ", "04:43.2240", "-", "0", "0", 


Race laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Nicolas"
"1 ", urd_loire07_21, no,"0", "04:46.8760", "111.3360", "92.5290", "83.0110",  "F:S - R:S",     
"2 ", urd_loire07_21, no,"0", "01:38.6770", "36.7970", "34.9660", "26.9140",  "F:S - R:S",     
"3 ", urd_loire07_21, no,"0", "01:35.1350", "34.4530", "34.3120", "26.3700",  "F:S - R:S",     
"4 ", urd_loire07_21, no,"0", "01:34.9120", "34.2290", "34.3670", "26.3160",  "F:S - R:S",     
"5 ", urd_loire07_21, no,"0", "01:34.6950", "34.2420", "34.1630", "26.2900",  "F:S - R:S",     
"6 ", urd_loire07_21, no,"0", "01:34.7160", "33.9480", "34.5550", "26.2130",  "F:S - R:S",     
"7 ", urd_loire07_21, no,"0", "01:34.7070", "34.3210", "34.2680", "26.1180",  "F:S - R:S",     
"8 ", urd_loire07_21, no,"0", "01:34.6890", "34.0150", "34.5240", "26.1500",  "F:S - R:S",     
"9 ", urd_loire07_21, no,"0", "01:35.2020", "34.4870", "34.5470", "26.1680",  "F:S - R:S",     
"10 ", urd_loire07_21, no,"0", "01:34.8190", "34.2130", "34.1960", "26.4100",  "F:S - R:S",     
"11 ", urd_loire07_21, no,"0", "01:34.7350", "34.3220", "34.1370", "26.2760",  "F:S - R:S",     
"12 ", urd_loire07_21, no,"0", "01:34.4870", "34.1340", "34.1770", "26.1760",  "F:S - R:S",     
"13 ", urd_loire07_21, no,"0", "01:34.3900", "33.9690", "34.2220", "26.1990",  "F:S - R:S",     
"14 ", urd_loire07_21, no,"0", "01:34.6320", "33.9670", "34.4430", "26.2220",  "F:S - R:S",     
"15 ", urd_loire07_21, no,"0", "01:34.3830", "33.9570", "34.1950", "26.2310",  "F:S - R:S",     
"16 ", urd_loire07_21, no,"0", "01:34.6160", "34.1000", "34.3090", "26.2070",  "F:S - R:S",     
"17 ", urd_loire07_21, no,"0", "01:36.6450", "34.0900", "34.5510", "28.0040",  "F:S - R:S",     
"18 ", urd_loire07_21, no,"0", "01:34.8420", "34.1720", "34.3710", "26.2990",  "F:S - R:S",     
"19 ", urd_loire07_21, no,"0", "01:34.8140", "33.9970", "34.3930", "26.4240",  "F:S - R:S",     
"20 ", urd_loire07_21, no,"0", "01:34.6740", "34.0900", "34.3120", "26.2720",  "F:S - R:S",     
